SampleID,Fermentation_stage
S1,AXiasha
S2,AXiasha
S3,AXiasha
S4,AXiasha
S5,AXiasha
S6,AXiasha
S8,AZaosha
S9,AZaosha
S10,AZaosha
S11,AZaosha
S12,AZaosha
S13,AZaosha
S14,AZaosha
S15,AZaosha
S16,Round1
S17,Round1
S18,Round1
S19,Round1
S20,Round1
S21,Round1
S22,Round1
S23,Round1
S24,Round1
S25,Round1
S26,Round1
S27,Round2
S28,Round2
S29,Round2
S30,Round2
S31,Round2
S32,Round2
S33,Round3
S34,Round3
S35,Round3
S36,Round3
S37,Round3
S38,Round3
S39,Round3
S40,Round3
S41,Round3
S42,Round3
S43,Round4
S44,Round4
S45,Round4
S46,Round4
S47,Round4
S48,Round4
S49,Round4
S50,Round4
S51,Round5
S52,Round5
S53,Round5
S54,Round5
S55,Round5
